,Point of Interest,Place,Adm1,Country,Foundation date,Owner,Original Address,Resolved Address,Latitude,Longitude
0,John F. Kennedy Presidential Library and Museum,Columbia Point,Massachusetts,United States,1979-01-01,National Archives and Records Administration,"John F. Kennedy Presidential Library and Museum, Columbia Point, Massachusetts, United States","John F. Kennedy Presidential Library and Museum, Columbia Pt, Dorchester, MA 02125, United States",42.31597,-71.03407
1,Petrie Museum of Egyptian Archaeology,London,England,United Kingdom,1892-01-01,University College London,"Petrie Museum of Egyptian Archaeology, London, England, United Kingdom","Ucl Art Museum, Gower Street, London, WC1E 6BT, United Kingdom",51.52471,-0.13351
2,Helsinki City Museum,Kruununhaka,Uusimaa,Finland,1911-01-01,Helsinki,"Helsinki City Museum, Kruununhaka, Uusimaa, Finland","Helsingin kaupunginmuseo, Aleksanterinkatu 16, FI-00170 Helsinki, Suomi",60.16862,24.9542
3,Castle Caputh,Caputh,Brandenburg,Germany,1662-01-01,Prussian Palaces and Gardens Foundation Berlin-Brandenburg,"Castle Caputh, Caputh, Brandenburg, Germany","Weg nach Caputh, 14552 Michendorf, Deutschland",52.32503,13.04364
4,Nyköping Castle,Nyköping,Södermanland,Sweden,1200-01-01,National Property Board,"Nyköping Castle, Nyköping, Södermanland, Sweden","Nyköpingshus, Vallgatan 12, SE-611 32 Nyköping, Sverige",58.74937,17.0096
5,World of Coca-Cola,Atlanta,Georgia,United States,1990-01-01,The Coca-Cola Company,"World of Coca-Cola, Atlanta, Georgia, United States","World of Coca-Cola, 121 Baker St NW, Atlanta, GA 30313-1807, United States",33.76242,-84.3921
6,Zeeuws Museum,Middelburg,Zeeland,Netherlands,1972-01-01,Rijksmuseum,"Zeeuws Museum, Middelburg, Zeeland, Netherlands","Zeeuws Museum, Balans, 4331 BL Middelburg, Nederland",51.50093,3.61409
7,Horniman Museum,Forest Hill,England,United Kingdom,1901-01-01,"Department for Digital, Culture, Media and Sport","Horniman Museum, Forest Hill, England, United Kingdom","Horniman Museum, 100 London Road, London, SE23 3PQ, United Kingdom",51.44094,-0.06118
8,Nobel Prize Museum,Gamla stan,Stockholm,Sweden,2001-04-01,Nobel Foundation,"Nobel Prize Museum, Gamla stan, Stockholm, Sweden","Nobel Prize museum, Stortorget 2, SE-111 29 Stockholm, Sverige",59.32517,18.07078
9,Museo di Palazzo Venezia,Palazzo Venezia,Latium,Italy,1916-01-01,Ministry of Cultural Heritage and Activities and Tourism,"Museo di Palazzo Venezia, Palazzo Venezia, Latium, Italy","Via Palazzo, 30174 Venezia VE, Italia",45.49532,12.24325
10,Palanga Amber Museum,Palanga,Klaipėda County,Lithuania,1963-08-03,Lithuanian Art Museum,"Palanga Amber Museum, Palanga, Klaipėda County, Lithuania","Amber House, Smilčių gatvė 40, LT-00137 Palanga, Lietuva",55.92378,21.06363
11,Stockholm Palace,Gamla stan,Stockholm,Sweden,1760-01-01,National Property Board,"Stockholm Palace, Gamla stan, Stockholm, Sweden","Stockholm-Arlanda, Stockholms län, Sverige",59.6432,17.95033
12,Hamburg Dungeon,HafenCity,Hamburg,Germany,2000-05-03,Merlin Entertainments,"Hamburg Dungeon, HafenCity, Hamburg, Germany","Dungeon, Auf dem Sande 2, 20457 Hamburg, Deutschland",53.54378,9.98957
13,Wahnfried,Bayreuth,Bavaria,Germany,1976-01-01,Wagner family,"Wahnfried, Bayreuth, Bavaria, Germany","Wahnfried, Richard-Wagner-Straße 47, 95444 Bayreuth, Deutschland",49.94179,11.58322
14,Stockholm Observatory,Vasastaden,Stockholm,Sweden,1752-01-01,Royal Swedish Academy of Sciences,"Stockholm Observatory, Vasastaden, Stockholm, Sweden","Vasastaden, Stockholm, Stockholms län, Sverige",59.34069,18.03822
15,Sabarmati Ashram,Ahmedabad,Gujarat,India,1915-06-25,Mohandas Karamchand Gandhi,"Sabarmati Ashram, Ahmedabad, Gujarat, India","Sabarmati Ashram, Gandhi Ashram, Juna Vadaj, Ahmedabad 380027, India",23.0608,72.58049
16,Helsinki University Observatory,Tähtitorninvuori,Uusimaa,Finland,1834-01-01,University of Helsinki,"Helsinki University Observatory, Tähtitorninvuori, Uusimaa, Finland","Port of Helsinki Makasiiniterminaali P2, Eteläranta 7, FI-00130 Helsinki, Suomi",60.16366,24.95528
17,Tropenmuseum,Villa Welgelegen,North Holland,Netherlands,1864-01-01,National Museum of World Cultures,"Tropenmuseum, Villa Welgelegen, North Holland, Netherlands","Welgelegen, Nieuw-Vennep, Nederland",52.26732,4.63573
18,Creation Museum,Petersburg,Kentucky,United States,2007-05-28,Answers in Genesis,"Creation Museum, Petersburg, Kentucky, United States","Creation Museum, 2800 Bullittsburg Church Rd, Petersburg, KY 41080, United States",39.08585,-84.78373
19,Royal Palace of Amsterdam,Amsterdam-Centrum,North Holland,Netherlands,1665-01-01,Kingdom of the Netherlands,"Royal Palace of Amsterdam, Amsterdam-Centrum, North Holland, Netherlands","Koninklijk Paleis, Nieuwezijds Voorburgwal 147, 1012 NP Amsterdam, Nederland",52.37264,4.8919
